ID,Task,Question,Sentence,Score
88150,1,4,the family plays in the front of the house,2
29800,1,4,The family is playing outside the house,2
66086,1,4,They play ball in front of the house.,2
58506,1,4,house all child billing the ball,0
81806,1,4,the children are playing at the outside of the house ,1
44888,1,4,A mom and her kids are playing outside the house. ,2
96741,1,4,Children are playing in front of the house.,2
64265,1,4,They are playing in front of the house.,2
63562,1,4,The children play by the house.,2
71269,1,4,Kids are playing at their house.,2
60395,1,5,Small boy is fell down the floor,0
99615,1,5,a young boy fell off his bike.,2
69634,1,5,The boy fell.,2
52221,1,5,The kid fell off his bike,2
82425,1,5,a small bot fell down for the by-cycle,0
11381,1,5,The boy fell from his unicycle,2
69591,1,5,"I fell off my bike!
",2
15824,1,5,The little boy on the bike fell down.,2
60627,1,5,The little boy fell from his bicycle.,2
84138,1,5,The boy fell off his scooter.,2
48548,1,5,He fell off of his bike,2
44074,1,5,The boy fell off his bike.,2
19769,1,5,feel the child,0
41262,1,5,the girl are boy fell the cycle race,0
83655,1,5,Boy fell from the bike. Active child fell while cycling.,0
94578,1,5,The boy fell off of his bike.,2
97885,1,5,A child fell off a bicycle on the pavement.,2
83030,1,5,the child fell down.,2
35985,1,5,The boy fell off his bike.,2
94706,1,5,Boy fell from the bike. active child fell while cycling,0
88150,1,5,the boy fell off his bike,2
29800,1,5,The boy fell off the bike,2
66086,1,5,He fell off of his scooter.,2
58506,1,5,fell the child,0
81806,1,5,the child fell from the cycle ,2
44888,1,5,A little boy fell off his bike.,2
96741,1,5,The kid fell down.,2
64265,1,5,He fell off his bike.,2
63562,1,5,A young boy fell while riding.,2
71269,1,5,A boy fell off his bike.,2
60395,1,6,Always walking the road,0
99615,1,6,these kids know to always hold onto their mother's hands when outside.,2
69634,1,6,The family always looks both ways before crossing the street.,2
52221,1,6,They always look before crossing,2
82425,1,6,Everyone always notice the vehicle while crossing the cross walks,1
11381,1,6,The mother reminded her children to always look both ways before crossing the street.,2
69591,1,6,We always look both ways before crossing the streets.,2
15824,1,6,The children always look both ways before crossing the street.,2
60627,1,6,Always look around before crossing the road.,2
84138,1,6,The kids always look both ways before crossing the street.,2
48548,1,6,Always look both ways before crossing,2
44074,1,6,The woman always looks both ways before crossing the street.,2
19769,1,6,waiting for  road of traffic,0
41262,1,6,the family always gross the road,1
83655,1,6,Mother and her children crossing road on way to school.,0
94578,1,6,Always look both ways before crossing the street.,2
97885,1,6,This mom always looks both ways before crossing the street with her kids.,2
83030,1,6,The family always holds hands while crossing the street.,2
35985,1,6,They always held hands when walking across the street.,2
94706,1,6,Teaching Your Children to Stay Safe on the Street,0
88150,1,6,the kids always hold their mother's hand when crossing the street,2
29800,1,6,Always look both ways before crossing the street,2
66086,1,6,They always look both ways before crossing.,2
58506,1,6,always same waiting ,0
81806,1,6,always obey the traffic rules ,2
44888,1,6,The kids always hold their mom's hand when crossing the street.,2
96741,1,6,The family always follows the traffic rules.,2
64265,1,6,They always look before crossing.,2
63562,1,6,The mother always loves her children.,2
71269,1,6,The mom always makes her kids hold her hands.,2
60395,1,7,The boy hearing the song usually,0
99615,1,7,this youngster usually can be found under his headphones.,1
69634,1,7,The boy usually listens to music in the car.,2
52221,1,7,The kid usually listens to music,2
82425,1,7,I usually listens the songs in ear phone,0
11381,1,7,The young boy was usually quiet and tended to keep to himself.,2
69591,1,7,"Usually, I listen to music",2
15824,1,7,The boy usually wears headphones in the car.,2
60627,1,7,Young boys usually like to listen to music.,2
84138,1,7,The child usually listens to music in the car.,2
48548,1,7,The boy usually has to listen to his moms music,2
44074,1,7,The boy usually listens to music in the car.,2
19769,1,7,the child earing to the songs,0
41262,1,7,the boy usually the headphone,0
83655,1,7,Little blond kid boy watching tv or DVD with headphones during long car driving on family vacations. Leisure for children for long drive. Preschool child sitting in safe car seat.,0
94578,1,7,The boy usually wears his headphones when listening to music.,2
97885,1,7,This boy usually wears headphones during car rides.,2
83030,1,7,The kid usually listens to music in the car.,2
35985,1,7,He usually had to wait in the car.,2
94706,1,7,Little blond kid boy watching tv or DVD with headphones during long car driving on family vacations. Leisure for children for long drive. Preschool child sitting in safe car seat.,0
88150,1,7,the boy usually listens to music in the car,2
29800,1,7,Long car rides are usually boring,2
66086,1,7,He usually wears headphones in the car.,2
58506,1,7,usually songs hear,0
81806,1,7,the child usually hearing songs ,0
44888,1,7,"The boy is usually in a bad mood in the car, so he listens to his headphones. ",2
96741,1,7,The boy usually puts on his headphones.,2
64265,1,7,He usually wears headphones while riding.,2
63562,1,7,The boy usually listens to music.,2
71269,1,7,A boy is listening to what he usually listens to.,2
60395,1,8,Father is playing her daughter,0
99615,1,8,dad loves playing with his young daughter.,2
69634,1,8,The man is playing with his daughter.,2
52221,1,8,They were playing dress up,2
82425,1,8,A father is playing with his daughter,2
11381,1,8,The father was playing with his daughter.,2
69591,1,8,I was playing with my dad!,2
15824,1,8,The father is playing make-believe with his daughter.,2
60627,1,8,Father is playing with his daughter.,1
84138,1,8,The girl and her father are playing princess.,2
48548,1,8,They are playing princess,2
44074,1,8,The father is playing make believe with his daughter.,2
19769,1,8,child and the man playing,0
41262,1,8,the father and son playing the game with house,0
83655,1,8,Dad kisses hand of his daughter.,0
94578,1,8,The father is playing prince and princess with his daughter.,2
97885,1,8,A dad playing make-believe with his daughter.,1
83030,1,8,The father and daughter are playing.,2
35985,1,8,Her Dad was always playing princess games with her.,2
94706,1,8,Funny time! Father and his child are playing at home. Cute girl holding paper crown on stick and pretend of princess. Dad kisses hand of his daughter. Family holiday and togetherness.,1
88150,1,8,the dad is playing with his daughter,2
29800,1,8,The dad and daughter were playing,2
66086,1,8,They like playing make believe.,2
58506,1,8,playing the little child,0
81806,1,8,the child are playing with her dad,1
44888,1,8,A girl is playing with her daddy.,2
96741,1,8,the girl is playing with her father.,2
64265,1,8,They are playing princess.,2
63562,1,8,The dad and daughter are playing.,2
71269,1,8,A dad is playing with his daughter.,2
60395,1,9,Child see the tallest giraffe,1
99615,1,9,these people realize that a giraffe is one of the tallest animals.,2
69634,1,9,The giraffe is the tallest mammal.,2
52221,1,9,The giraffe is the tallest animal,2
82425,1,9,dears are the tallest animal,1
11381,1,9,The giraffes in the zoo were the tallest creatures that the kids had ever seen.,2
69591,1,9,The giraffe was the tallest thing I've ever seen,2
15824,1,9,The family is visiting the giraffes - the tallest animals in the zoo.,2
60627,1,9,Giraffe is the tallest animal.,2
84138,1,9,The girl looked at the tallest giraffe.,2
48548,1,9,The girl is looking for the tallest giraffe,2
44074,1,9,The giraffe is the tallest animal they saw at the zoo.,2
19769,1,9,good tallest to the child,0
41262,1,9,the family tallest the giraffe with nose,0
83655,1,9,"Happy family, young mother with two children, cute laughing toddler girl and a teen age boy feeding giraffe during a trip to a city zoo on a hot summer day",0
94578,1,9,The giraffe was the tallest animal at the zoo.,2
97885,1,9,The giraffe is the tallest animal these kids have ever seen.,2
83030,1,9,The family is seeing the tallest animals at the zoo.,2
35985,1,9,The giraffe is one of the tallest animals.,2
94706,1,9,Morning at Singapore Zoo with Hotel Transfers and Optional Breakfast,0
88150,1,9,the girl touches the tallest giraffe,2
29800,1,9,The family found the tallest animal,2
66086,1,9,The giraffe is the tallest of the zoo animals.,2
58506,1,9,it is a tallest giraffe,1
81806,1,9,the giraffe have tallest neck,1
44888,1,9,A little girl is feeding the tallest giraffe.,2
96741,1,9,This giraffe is the tallest.,2
64265,1,9,The giraffe is the tallest animal.,2
63562,1,9,The tallest giraffe is being pet by the child.,2
71269,1,9,This is the tallest animal the girl had ever seen.,2
60395,1,10,Balloons are most beautiful,1
99615,1,10,most of the kids shown are girls.,2
69634,1,10,Most of the kids have a balloon.,2
52221,1,10,Most of the kids had a balloon,2
82425,1,10,most of the children's listening the balloon,0
11381,1,10,Most of the kids had a balloon to play with.,2
69591,1,10,We move around the most when we play with the balloons.,2
15824,1,10,Most of the children have their balloons above their heads.,2
60627,1,10,Most of the children are having balloons. ,1
84138,1,10,The kids had the most fun when they were playing with the balloons. ,2
48548,1,10,Most of the kids have a balloon,2
44074,1,10,Most of the balloons are pink.,2
19769,1,10,the child's playing to balloons,0
41262,1,10,most girls are boys with playing the balloon game,0
83655,1,10,most of kids celebrate Christmas and happy new year party together.,0
94578,1,10,Most of the children had their own balloon.,2
97885,1,10,Most kids like these enjoy playing with balloons.,2
83030,1,10,Most of the kids are playing with balloons.,2
35985,1,10,The kids had the most fun of all.,2
94706,1,10,most of the children celebrates the happy moment,1
88150,1,10,most of the children have balloons,2
29800,1,10,Kids love playing with balloons the most,2
66086,1,10,They have the most fun when playing with balloons.,2
58506,1,10,child most nice playing the game,0
81806,1,10,most of the children have balloons,2
44888,1,10,Most of the kids have a balloon to play with.,2
96741,1,10,Most of the kids play with balloons.,2
64265,1,10,Most of the children have balloons.,2
63562,1,10,The boy in yellow has the most balloons.,2
71269,1,10,There are only enough balloons for most of the kids.,2
60395,1,11,The last child face is not clear,1
99615,1,11,"the first, as well as the last child in this line, is a girl.",2
69634,1,11,The last kid in line is waiting for the bus.,2
52221,1,11,The girl with pigtails is last in line,2
82425,1,11,We can see the faces until last,0
11381,1,11,The young girl was last on the bus line.,2
69591,1,11,I was the last one on the bus.,2
15824,1,11,The girl with pigtails is the last student in line in front of the bus.,2
60627,1,11,The face of the last child in the queue is not visible.,2
84138,1,11,The kids were picked up by the bus on the last stop.,2
48548,1,11,No one wants to be last on the bus,2
44074,1,11,The last person in line is a girl.,2
19769,1,11,going to school,0
41262,1,11,kids standing in the line and last row,0
83655,1,11,Children's registration  (school/daycare),0
94578,1,11,The little girl was the last student in line waiting to get on the bus.,2
97885,1,11,A girl is the last in line for the school bus.,2
83030,1,11,The last group of kids are getting picked up by the school bus.,2
35985,1,11,The kids from this school were the last to leave.,2
94706,1,11,Elementary school kids queueing to get on to a school bus,0
88150,1,11,the kids get on the day's last bus,2
29800,1,11,Nobody wants to be last on the bus,2
66086,1,11,They will be last to arrive at school.,2
58506,1,11,child the going last,0
81806,1,11,the last girl are not visible ,1
44888,1,11,The kid that is last in line is still happy. ,2
96741,1,11,The girl is last in the queue.,2
64265,1,11,The girl with pigtails is last in the line.,2
63562,1,11,The girl is last in line.,2
71269,1,11,This is the last bus stop of the day.,2
60395,1,12,vegetables are safely to cutting father and child,0
99615,1,12,dad is making sure that he and his daughter cut the tomato safely.,2
69634,1,12,The people are cutting peppers safely. ,2
52221,1,12,He showed the boy how to safely use a knife,2
82425,1,12,Father give a practice for cutting the vegetables safely ,0
11381,1,12,The father showed his daughter how to cut vegetables safely.,2
69591,1,12,We cut the peppers safely.,2
15824,1,12,The father is teaching his daughter how to safely cut the pepper.,2
60627,1,12,Father is teaching his child to cut the vegetables safely.,2
84138,1,12,The dad showed his daughter how to cut the vegetables safely.,2
48548,1,12,Man showing his son how to safely use a knife,1
44074,1,12,The dad shows his child how to safely cut the vegetables.,2
19769,1,12,safely cutting to the vegetables,0
41262,1,12,the father and son fruits cut the safety,0
83655,1,12,Have a fire safety conversation.,0
94578,1,12,The father taught his son how to safely use a knife.,2
97885,1,12,A dad shows his child how to safely cut vegetables.,2
83030,1,12,The family is safely cutting vegetables.,2
35985,1,12,The father showed the child how to slice vegetables safely.,2
94706,1,12,guide the father safely the cookie,0
88150,1,12,the dad teaches his son how to safely use a knife,2
29800,1,12,Dad shows his kid how to safely cut vegetables,2
66086,1,12,They safely cut the vegetables.,2
58506,1,12,safely the child cooking,0
81806,1,12,cut the vegetables safely,2
44888,1,12,A dad shows his daughter how to safely chop vegetables.,2
96741,1,12,The father is using the knife safely.,2
64265,1,12,He is teaching the girl how to safely cut veggies.,2
63562,1,12,The father and daughter safely cut the pepper.,2
71269,1,12,A dad is teaching his son how to safely use a knife,2
60395,1,13,the boy is going to school in bicycle at before ,0
99615,1,13,these kids know they must safely search the scene before they ride near the bus.,2
69634,1,13,The kids arrive before school.,2
52221,1,13,They got to school before the bus left,2
82425,1,13,Don't cross the road before signaling ,2
11381,1,13,The students wore helmets before getting on their bikes.,2
69591,1,13,We cross before the bus.,2
15824,1,13,The children always put their helmets on before riding their bikes.,2
60627,1,13,Always look around before crossing the road.,2
84138,1,13,The bus drove by before the kids rode their bikes across the street.,2
48548,1,13,Kids before school,0
44074,1,13,The children looked both ways before crossing the street.,2
19769,1,13,run to the cycle in the traffic rules,0
41262,1,13,before girls cycle the school ,0
83655,1,13,Student road Ride walk the before signal ,0
94578,1,13,Put your helmet on before riding your bike.,2
97885,1,13,Kids ride their bikes in the parking lot before school begins.,2
83030,1,13,the kids are arriving before school.,2
35985,1,13,They always look both ways before crossing the street.,2
94706,1,13,student road walk the signal before the safe,0
88150,1,13,the kids bike to the bus before school,2
29800,1,13,Kids ride their bikes before school starts,2
66086,1,13,They ride to school before the buses leave.,2
58506,1,13,child is the going before,0
81806,1,13,"before crossing the road , the people check the signals",2
44888,1,13,The boy looked both ways before riding his bike across the street.,2
96741,1,13,The boy should reach the school before the class starts.,2
64265,1,13,Always look before crossing the street.,2
63562,1,13,The biker looks before crossing the street.,2
71269,1,13,A girl looked both ways before riding across the street.,2
60395,1,14,Two girls are seeing and then the boy is around the circle.,0
99615,1,14,"when the girl finishes playing hop scotch, then it will be the next girl's turn.",2
69634,1,14,The kids play hopscotch then.,1
52221,1,14,She jumped and then jumped again,2
82425,1,14,after she playing then next girl will play,1
11381,1,14,"After the blonde girl finished her turn, then the other girls would take their turn.",2
69591,1,14,I played and then she went.,2
15824,1,14,The girl finished the hopscotch game and then jumped in the air.,2
60627,1,14,A girl is jumping and then making the next move.,2
84138,1,14,The girl jumped the hopscotch and then the next girl did the same.,2
48548,1,14,She will then turn around and come back,2
44074,1,14,One girl player hopscotch and then another did the same.,1
19769,1,14,playing,0
41262,1,14,then the girls playing the game,0
83655,1,14,A Hopscotch on the schoolyard with friends play together,0
94578,1,14,Wait your turn and then hop scotch.,2
97885,1,14,"Kids wait, then are able to take their turn playing hopscotch.",2
83030,1,14,the girls are waiting for their friend to finish then they are playing hop scotch,1
35985,1,14,They had to wait until then to play hopscotch.,2
94706,1,14,A Hopscotch on the schoolyard with friends play together,0
88150,1,14,the girl hops to the end of the board and then back again,2
29800,1,14,Once one kid plays hopscotch then it is the other kids turn,2
66086,1,14,They hop on the concrete then they do it again.,2
58506,1,14,The girls are studying then  playing the Schoolyard,0
81806,1,14,the children play the game then round the circle ,1
44888,1,14,A girl playing hopscotch jumped and then her ponytail flew up in the air.,2
96741,1,14,The girls will then play after her.,2
64265,1,14,The first girl played then the others followed.,2
63562,1,14,The children hop and then finish the game.,2
71269,1,14,"The girl in the back wants to hop now, but then she'd have to cut in line.",2
60395,1,15,student write the homework after studying,1
99615,1,15,"after these kids finish their work, they hope they get a break.",2
69634,1,15,The kids do homework after school.,2
52221,1,15,The boy will use the computer after he is done with his homework,2
82425,1,15,The boy will use laptop after studying,2
11381,1,15,The kids would take a break after finishing their assignment.,2
69591,1,15,We played on the computer after.,1
15824,1,15,The girl got on her computer after she finished her homework.,2
60627,1,15,Children are doing homework after coming from school.,2
84138,1,15,The kids were going to play after they finished their homework.,2
48548,1,15,You can surf the web after you finish your homework,2
44074,1,15,The children did their homework after school.,2
19769,1,15,writing to the note book,0
41262,1,15,after girl are boy writing the note and typing the computer,0
83655,1,15,Student write the home work after the play game,0
94578,1,15,Do your homework after dinner.,2
97885,1,15,Kids finish their homework after school.,2
83030,1,15,the boy is waiting to use the computer after his sister.,2
35985,1,15,"After their homework, they would play outside.",2
94706,1,15,student write the homework after the studying,0
88150,1,15,the kids do their homework after school,2
29800,1,15,The kids can play after they complete their homework,2
66086,1,15,They play on the computer after they do the homework.,2
58506,1,15,Kids are studying after playing games,2
81806,1,15,after completion of home work and then play the game ,0
44888,1,15,The boy is writing on paper until after his sister is done with the computer.,2
96741,1,15,The boy is writing after learning.,2
64265,1,15,They can play after doing homework.,2
63562,1,15,The children do their homework after school.,2
71269,1,15,The boy has to wait until after he does his homework to use the computer. ,2
60395,1,16,High school teacher taking class unless the students,0
99615,1,16,"the kid with his hand raised will be happy with his answer, unless the teacher informs him he is wrong.",2
69634,1,16,The kid answers the question unless the teacher doesn't see him.,2
52221,1,16,The teacher won't call on him unless he raises his hand,2
82425,1,16,you don't raise the hand unless knowing the answer,1
11381,1,16,The teacher told them that class was dismissed unless they had any other questions they'd like to ask.,2
69591,1,16,"I have a question, unless she explains it.",2
15824,1,16,Don't raise your hand in class unless you know the correct answer.,2
60627,1,16,Don't raise hand unless you are confident. ,2
84138,1,16,The students weren't called on unless they raised their hands.,2
48548,1,16,Don't raise your hand unless you know the answer,2
44074,1,16,The boy didn't raise his hand unless he knew the answer.,2
19769,1,16,classroom,0
41262,1,16,all class boys are girls unless the note,0
83655,1,16,Female High School Teacher Taking class,0
94578,1,16,Do not speak unless your hand is raised and you are called on.,2
97885,1,16,This boy knows he won't be called on unless he raises his hand in class.,2
83030,1,16,unless the kid is raising his hand.,0
35985,1,16,The teacher would call on the boy unless someone else answered the question.,2
94706,1,16,Female High School Teacher Taking Class,0
88150,1,16,the kid raises his hand unless someone else answers the question first,2
29800,1,16,The teacher will not call on you unless you raise your hand,2
66086,1,16,The teacher will call on him unless someone else raises their hand.,2
58506,1,16,teacher taking class the student learn unless,0
81806,1,16,answer the question unless the question was not understanding ,0
44888,1,16,Don't raise your hand unless you know the answer.,2
96741,1,16,The child will not answer unless the teacher asks.,2
64265,1,16,They can't speak unless they raise their hand first.,2
63562,1,16,The kids have a test unless there is a substitute teacher.,2
71269,1,16,The teacher won't let the kids leave unless the boy gets the right answer.,2
60395,1,17,Father and son also purchasing the shop,0
99615,1,17,"the dad and his son put some bread in a bag, now they also want to buy some other food to go with it.",1
69634,1,17,The kid wants bread and also sweets.,2
52221,1,17,Mom said we also need cheese,2
82425,1,17,I also want to buy it,2
11381,1,17,The boy said he also wanted some snacks.,2
69591,1,17,"Also, I got bread.",1
15824,1,17,The boy picked out bread and also wants another item.,2
60627,1,17,Child wants to buy that item also.,2
84138,1,17,The boy also pointed to other foods he wanted in the store.,2
48548,1,17,The boy also needs to get his cheese,2
44074,1,17,The father also checked the grocery list.,2
19769,1,17,purchase to the vegetables,0
41262,1,17,father and son also fruits purchasing the super market,0
83655,1,17,Father and son doing grocery shopping at the supermarket,0
94578,1,17,The little boy tells his father they also need something from over there.,2
97885,1,17,A kid reminds his dad about what they also need from the store.,2
83030,1,17,The family is also getting vegetables.,2
35985,1,17,The father would also take his son to the park after they got groceries.,2
94706,1,17,Father and son doing grocery shopping at the supermarket,0
88150,1,17,the boy points to the fruit that is also on the list,2
29800,1,17,The kid is telling the father what groceries the family also needs,2
66086,1,17,He will also get fruit from the store.,2
58506,1,17,Father and his son went to the shopping and also they purchase grocery,0
81806,1,17,I want that snacks also,1
44888,1,17,The boy told his dad that he also wants something else from the shelf.,2
96741,1,17,The boy is also shopping with his father.,2
64265,1,17,They are also buying other things.,2
63562,1,17,The kid gets bread and also vegetables.,2
71269,1,17,The boy reminds his had that they also have to buy something else.,2
60395,1,18,Women is paying the card because buying things,0
99615,1,18,the woman paid with her credit card since she was low on cash.,0
69634,1,18,The woman pays with credit because she does not have cash.,2
52221,1,18,I handed her the card because I was buying things,2
82425,1,18,This card is not accepted because it has insufficient balance,2
11381,1,18,She used a credit card because the groceries were so expensive. ,2
69591,1,18,I paid for my groceries because I needed them.,2
15824,1,18,The woman handed her credit card to the cashier because she wanted to pay for her groceries.,2
60627,1,18,The woman is paying from her card because she brought groceries. ,1
84138,1,18,The woman paid with her credit card because she didn't have any cash.,2
48548,1,18,"We need French bread, because why not",1
44074,1,18,She paid with her credit card because it earned her points.,2
19769,1,18,purchase to supermarket,0
41262,1,18,the family with because save money and interest and fees,0
83655,1,18,"At NerdWallet, we strive to help you make financial decisions with confidence. To do this, many or all of the products featured here are from our partners. However, this doesn't influence our evaluations. Our opinions are our own.",0
94578,1,18,The lady hands her card to the cashier because she needs to pay for groceries.,2
97885,1,18,A woman hands her credit card to the cashier because it is time to pay.,2
83030,1,18,the woman is paying with her card because it is faster.,2
35985,1,18,She had to use her credit card because she didn't have enough cash.,2
94706,1,18,Beautiful young parents and their cute little daughter are smiling while standing near cash desk in the supermarket. Mom is giving a credit card,0
88150,1,18,the woman hands the cashier her credit card because she forgot cash,2
29800,1,18,The women is paying for the food with a credit card because it is easier,2
66086,1,18,She is paying by card because she forgot to bring cash.,2
58506,1,18,The lady gives her credit card . because she billing her purchased items,0
81806,1,18,the people want extra pack because it was a discount ,0
44888,1,18,The woman paid with a debit card because she didn't have cash.,2
96741,1,18,The lady is shopping because she is making payment.,0
64265,1,18,She is paying with credit card because she is out of cash.,2
63562,1,18,The woman uses a credit card because she doesn't have cash.,2
71269,1,18,The cashier hands the woman her card because it was declined.,2
60395,1,19,Whenever the park is amusement in the city,0
99615,1,19,"whenever it's a school day there are very few, if any, kids at the park.",2
69634,1,19,The playground is open whenever the kids want to play.,2
52221,1,19,The kids are never around whenever there are clouds,2
82425,1,19,I will play whenever I come here,2
11381,1,19,"Whenever it was nice outside, the children would play in the playground.",2
69591,1,19,"Whenever I play on the playground, it's fun",2
15824,1,19,The playground is ready for children whenever they have free time.,2
60627,1,19,Play wherever you want to play in the park.,0
84138,1,19,The park was empty whenever the carnival was in town.,2
48548,1,19,This is what the playground looks like whenever I drive past it,2
44074,1,19,"Whenever it is summer, the playground is empty.",2
19769,1,19,the children enjoy the place,0
41262,1,19,whenever park plaza gain park the mire road,0
83655,1,19,Best place of learning for kids,0
94578,1,19,The playground is quiet whenever there are no students.,2
97885,1,19,A playground like this looks enticing whenever the sun is out.,2
83030,1,19,the playground is empty whenever the kids are in class.,2
35985,1,19,"Whenever there is a playground, there is sure to be kids around.",1
94706,1,19,whenever the park is amusement in the city,0
88150,1,19,the playground is empty whenever it is too hot,2
29800,1,19,Kids have fun whenever they play on this jungle gym,2
66086,1,19,They will play whenever the kids arrive.,2
58506,1,19,children are  playing  whenever in this park,0
81806,1,19,the children used park whenever they need ,0
44888,1,19,Kids have fun whenever they are at this playground.,2
96741,1,19,Whenever you go to this garden it is always empty.,2
64265,1,19,The park is full whenever school is out.,2
63562,1,19,The kids play on the playground whenever they are finished with homework.,2
71269,1,19,The playground is empty whenever school is in session.,2
60395,1,20, Boy playing the car and teddy bear,0
99615,1,20,the boy and his teddy bear are going for a ride.,2
69634,1,20,The boy and the bear ride in a car.,2
52221,1,20,A boy and his bear,0
82425,1,20,Me and my daddy is riding in the car,0
11381,1,20,The boy and his teddy bear were by themselves. ,2
69591,1,20,We drove and I took my teddy bear with me,2
15824,1,20,The boy and the bear are in the toy car.,2
60627,1,20,The child is driving his toy car and looking around.,2
84138,1,20,The boy and his teddy bear drove in the toy car.,2
48548,1,20,A boy and his doll out for adventures,0
44074,1,20,The boy and his stuffed bear rode in the small car.,2
19769,1,20, the child drive to the car.,0
41262,1,20,little preschool kid boy driving big toy car and having fun with playing,0
83655,1,20,"Little preschool kid boy driving big toy car and having fun with playing with his plush toy bear, outdoors. Child enjoying warm summer day in nature landscape",0
94578,1,20,The boy and his teddy bear go for a ride.,2
97885,1,20,A boy and his teddy bear ride in a toy car.,2
83030,1,20,the kid and his bear are riding a car.,2
35985,1,20,The boy and his bear were always together.,2
94706,1,20,"Little preschool kid boy driving big toy car and having fun with playing with his plush toy bear, outdoors. Child enjoying warm summer day in nature landscape",0
88150,1,20,the boy and his bear ride in their play car,2
